NCBI Accession,Genome Name
NC_012057.1,"Sousa chinensis mitochondrion, complete genome"
NC_012055.1,"Pseudolabrus eoethinus mitochondrion, complete genome"
NC_012053.1,"Stenella coeruleoalba mitochondrion, complete genome"
NC_012050.1,"Gyrinomimus myersi mitochondrion, complete genome"
NC_012049.1,"Gyrinomimus sp. UW 113191 mitochondrion, complete genome"
NC_012048.1,"Cetomimus sp. AMS I34481001 mitochondrion, complete genome"
NC_012047.1,"Procetichthys kreffti mitochondrion, complete genome"
NC_012046.1,"Barbourisia rufa mitochondrion, complete genome"
NC_012045.1,"Ataxolepis apus mitochondrion, complete genome"
NC_012044.1,"Parataeniophorus gulosus mitochondrion, complete genome"
NC_012043.1,"Eutaeniophorus festivus mitochondrion, complete genome"
NC_011951.1,"Chaetodermis penicilligerus mitochondrion, complete genome"
NC_011922.1,"Sinogastromyzon puliensis mitochondrion, complete genome"
NC_011956.1,"Meuschenia hippocrepis mitochondrion, complete genome"
NC_011955.1,"Pseudalutarius nasicornis mitochondrion, complete genome"
NC_011953.1,"Eubalichthys mosaicus mitochondrion, complete genome"
NC_011952.1,"Amanses scopas mitochondrion, complete genome"
NC_011950.1,"Acreichthys tomentosus mitochondrion, complete genome"
NC_011949.1,"Myrmecobius fasciatus mitochondrion, complete genome"
NC_011948.1,"Balistes vetula mitochondrion, complete genome"
NC_011947.1,"Acanthaluteres brownii mitochondrion, complete genome"
NC_011946.1,"Balistapus undulatus mitochondrion, complete genome"
NC_011945.1,"Xanthichthys auromarginatus mitochondrion, complete genome"
NC_011944.1,"Thylacinus cynocephalus mitochondrion, complete genome"
NC_011943.1,"Abalistes stellaris mitochondrion, complete genome"
NC_011941.1,"Rhinecanthus aculeatus mitochondrion, complete genome"
NC_011940.1,"Brachaluteres ulvarum mitochondrion, complete genome"
NC_011939.1,"Pseudobalistes flavimarginatus mitochondrion, complete genome"
NC_011938.1,"Odonus niger mitochondrion, complete genome"
NC_011937.1,"Melichthys vidua mitochondrion, complete genome"
NC_011936.1,"Scarus schlegeli mitochondrion, complete genome"
NC_011935.1,"Canthidermis maculata mitochondrion, complete genome"
NC_011934.1,"Balistoides conspicillum mitochondrion, complete genome"
NC_011933.1,"Pseudomonacanthus peroni mitochondrion, complete genome"
NC_011932.1,"Pervagor janthinosoma mitochondrion, complete genome"
NC_011931.1,"Paramonacanthus choirocephalus mitochondrion, complete genome"
NC_011929.1,"Paraluteres prionurus mitochondrion, complete genome"
NC_011928.1,"Scarus forsteni mitochondrion, complete genome"
NC_011927.1,"Oxymonacanthus longirostris mitochondrion, complete genome"
NC_011926.1,"Scobinichthys granulatus mitochondrion, complete genome"
NC_011925.1,"Monacanthus chinensis mitochondrion, complete genome"
NC_011923.1,"Bombus hypocrita sapporensis mitochondrion, complete genome"
NC_011921.1,"Nelusetta ayraudi mitochondrion, complete genome"
NC_011827.1,"Phlaeoba albonema mitochondrion, complete genome"
NC_011826.1,"Sipunculus nudus mitochondrion, complete genome"
NC_011825.1,"Mitsukurina owstoni mitochondrion, complete genome"
NC_011824.1,"Atractomorpha sinensis mitochondrion, complete genome"
NC_011823.1,"Teleogryllus emma mitochondrion, complete genome"
NC_011822.1,"Lama guanicoe mitochondrion, complete genome"
NC_011821.1,"Hydropotes inermis mitochondrion, complete genome"
NC_011819.1,"Sacalia quadriocellata mitochondrion, complete genome"
NC_011818.1,"Accipiter gentilis mitochondrion, complete genome"
NC_011817.1,"Francolinus pintadeanus mitochondrion, complete genome"
NC_011816.1,"Bambusicola thoracica mitochondrion, complete genome"
NC_011815.1,"Manouria impressa mitochondrion, complete genome"
NC_011814.1,"Nothobranchius furzeri mitochondrion, complete genome"
NC_011813.1,"Deracantha onos mitochondrion, complete genome"
NC_011764.1,"Eremias brenchleyi mitochondrion, complete genome"
NC_011763.1,"Hyriopsis cumingii mitochondrion, complete genome"
NC_011755.1,"Nezara viridula mitochondrion, complete genome"
NC_011719.1,"Trichiurus japonicus mitochondrion, complete genome"
NC_011717.1,"Pedetontus silvestrii mitochondrion, complete genome"
NC_011715.1,"Epinephelus lanceolatus mitochondrion, complete genome"
NC_011714.1,"Trogon viridis mitochondrion, complete genome"
NC_011712.1,"Todiramphus sanctus vagans mitochondrion, complete genome"
NC_011711.1,"Geococcyx californianus mitochondrion, complete genome"
NC_011710.1,"Larimichthys crocea mitochondrion, complete genome"
NC_011709.1,"Eudynamys taitensis mitochondrion, complete genome"
NC_011708.1,"Agapornis roseicollis mitochondrion, complete genome"
NC_011707.1,"Pampus sp. LY-2009 mitochondrion, complete genome"
NC_011638.1,"Rattus tanezumi mitochondrion, complete genome"
NC_011637.1,"Lagocephalus wheeleri mitochondrion, complete genome"
NC_011636.1,"Torquigener brevipennis mitochondrion, complete genome"
NC_011635.1,"Takifugu ocellatus mitochondrion, complete genome"
NC_011634.1,"Takifugu oblongus mitochondrion, complete genome"
NC_011633.1,"Takifugu chinensis mitochondrion, complete genome"
NC_011632.1,"Takifugu xanthopterus mitochondrion, complete genome"
NC_011631.1,"Takifugu vermicularis mitochondrion, complete genome"
NC_011630.1,"Takifugu snyderi mitochondrion, complete genome"
NC_011629.1,"Takifugu stictonotus mitochondrion, complete genome"
NC_011628.1,"Takifugu porphyreus mitochondrion, complete genome"
NC_011627.1,"Takifugu pardalis mitochondrion, complete genome"
NC_011626.1,"Takifugu obscurus mitochondrion, complete genome"
NC_011625.1,"Takifugu niphobles mitochondrion, complete genome"
NC_011624.1,"Takifugu chrysops mitochondrion, complete genome"
NC_011623.1,"Chelonodon patoca mitochondrion, complete genome"
NC_011622.1,"Takifugu exascurus mitochondrion, complete genome"
NC_011621.1,"Takifugu poecilonotus mitochondrion, complete genome"
NC_011609.1,"Podarcis siculus mitochondrion, complete genome"
NC_011608.1,"Mimachlamys nobilis mitochondrion, complete genome"
NC_011607.1,"Podarcis muralis mitochondrion, complete genome"
NC_011606.1,"Phoenicolacerta kulzeri mitochondrion, complete genome"
NC_011599.1,"Scarus ghobban mitochondrion, complete genome"
NC_011598.1,"Eriocheir hepuensis mitochondrion, complete genome"
NC_011597.1,"Eriocheir japonica mitochondrion, complete genome"
NC_011596.1,"Drosophila littoralis mitochondrion, complete genome"
NC_011594.1,"Acyrthosiphon pisum mitochondrion, complete genome"
NC_011582.1,"Spinachia spinachia mitochondrion, complete genome"
NC_011581.1,"Architeuthis dux mitochondrion, complete genome"
NC_011580.1,"Apeltes quadracus mitochondrion, complete genome"
NC_011579.1,"Martes zibellina mitochondrion, complete genome"
NC_011578.1,"Lutjanus kasmira mitochondrion, complete genome"
NC_011577.1,"Culaea inconstans mitochondrion, complete genome"
NC_011576.1,"Achalinus meiguensis mitochondrion, complete genome"
NC_011575.1,"Anguilla luzonensis mitochondrion, complete genome"
NC_011574.1,"Steganacarus magnus mitochondrion, complete genome"
NC_011573.1,"Trachemys scripta mitochondrion, complete genome"
NC_011572.1,"Symphylella sp. YG-2006 mitochondrion, complete genome"
NC_011571.1,"Pungitius pungitius mitochondrion, complete genome"
NC_011570.1,"Gasterosteus wheatlandi mitochondrion, complete genome"
NC_011569.1,"Aulichthys japonicus mitochondrion, complete genome"
NC_011524.1,"Protohermes concolorus mitochondrion, complete genome"
NC_008414.3,"Rusa unicolor swinhoei mitochondrion, complete genome"
NC_011519.1,"Macaca thibetana mitochondrion, complete genome"
NC_011394.1,"Ophiophagus hannah mitochondrion, complete genome"
NC_011393.1,"Bungarus fasciatus mitochondrion, complete genome"
NC_011391.1,"Daboia russellii mitochondrion, complete genome"
NC_011390.1,"Gloydius blomhoffi brevicaudus mitochondrion, complete genome"
NC_011389.1,"Naja atra mitochondrion, complete genome"
NC_011388.1,"Elassoma zonatum mitochondrion, complete genome"
NC_011387.1,"Jordanella floridae mitochondrion, complete genome"
NC_011380.1,"Fundulus olivaceus mitochondrion, complete genome"
NC_011379.1,"Xiphophorus maculatus mitochondrion, complete genome"
NC_011359.1,"Parafronurus youi mitochondrion, complete genome"
NC_011361.1,"Micropterus dolomieu mitochondrion, complete genome"
NC_011343.1,"Scarus rubroviolaceus mitochondrion, complete genome"
NC_011328.1,"Tetraphalerus bruchi mitochondrion, complete genome"
NC_011324.1,"Chaetosoma scaritides mitochondrion, complete genome"
NC_011322.1,"Sphaerius sp. BT0074 mitochondrion, complete genome"
NC_011320.1,"Cyphon sp. BT0012 mitochondrion, complete genome"
NC_011331.1,"Chilomycterus reticulatus mitochondrion, complete genome"
NC_011319.1,"Anoplocapros lenticularis mitochondrion, complete genome"
NC_011325.1,"Cantherhines pardalis mitochondrion, complete genome"
NC_011321.1,"Xenobalistes tumidipectoris mitochondrion, complete genome"
NC_011327.1,"Thamnaconus modestus mitochondrion, complete genome"
NC_011330.1,"Lactoria diaphana mitochondrion, complete genome"
NC_011323.1,"Aluterus scriptus mitochondrion, complete genome"
NC_011326.1,"Priasilpha obscura mitochondrion, complete genome"
NC_011329.1,"Trachypachus holmbergi mitochondrion, complete genome"
NC_011306.1,"Troglophilus neglectus mitochondrion, complete genome"
NC_011302.1,"Gryllotalpa pluvialis mitochondrion, complete genome"
NC_011304.1,"Rhinolophus formosae mitochondrion, complete genome"
NC_011305.1,"Calliptamus italicus mitochondrion, complete genome"
NC_011301.1,"Myrmecophilus manni mitochondrion, complete genome"
NC_011303.1,"Acrida willemsei mitochondrion, complete genome"
NC_011307.1,"Falco tinnunculus mitochondrion, complete genome"
NC_011293.1,"Damon diadema mitochondrion, complete genome"
NC_011277.1,"Ascaloptynx appendiculatus mitochondrion, complete genome"
NC_011276.1,"Corydalus cornutus mitochondrion, complete genome"
NC_011275.1,"Lutjanus bengalensis mitochondrion, complete genome"
NC_011278.1,"Polystoechotes punctatus mitochondrion, complete genome"
NC_011219.1,"Rachycentron canadum mitochondrion, complete genome"
NC_011211.1,"Rhodeus ocellatus mitochondrion, complete genome"
NC_011209.1,"Misgurnus anguillicaudatus mitochondrion, complete genome"
NC_011210.1,"Psilorhynchus homaloptera voucher IHB ph030926 mitochondrion, complete genome"
NC_011208.1,"Distoechodon tumirostris mitochondrion, complete genome"
NC_011193.1,"Rapana venosa mitochondrion, complete genome"
NC_011197.1,"Atelura formicaria mitochondrion, complete genome"
NC_011200.1,"Gampsocleis gratiosa mitochondrion, complete genome"
NC_011192.1,"Procypris rabaudi mitochondrion, complete genome"
NC_011191.1,"Halichoeres tenuispinis mitochondrion, complete genome"
NC_011199.1,"Halichoeres trimaculatus mitochondrion, complete genome"
NC_011195.1,"Bilobella aurantiaca mitochondrion, complete genome"
NC_011196.1,"Anser anser mitochondrion, complete genome"
NC_011198.1,"Chelydra serpentina mitochondrion, complete genome"
NC_011178.1,"Iso hawaiiensis mitochondrion, complete genome"
NC_011175.1,"Odontesthes sp. Odsp-001 mitochondrion, complete genome"
NC_011173.1,"Hyporhamphus sajori mitochondrion, complete genome"
NC_011174.1,"Menidia menidia mitochondrion, complete genome"
NC_011177.1,"Paretroplus maculatus mitochondrion, complete genome"
NC_011169.1,"Ptychochromoides katria mitochondrion, complete genome"
NC_011168.1,"Hypselecara temporalis mitochondrion, complete genome"
NC_011180.1,"Ablennes hians mitochondrion, complete genome"
NC_011172.1,"Xenopoecilus sarasinorum mitochondrion, complete genome"
NC_011170.1,"Paratilapia polleni mitochondrion, complete genome"
NC_011176.1,"Aplocheilus panchax mitochondrion, complete genome"
NC_011160.1,"Madracis mirabilis mitochondrion, complete genome"
NC_011161.1,"Pseudopungtungia nigra mitochondrion, complete genome"
NC_011162.1,"Stylophora pistillata mitochondrion, complete genome"
NC_011141.1,"Mylopharyngodon piceus mitochondrion, complete genome"
NC_011137.1,"Homo sapiens neanderthalensis mitochondrion, complete genome"
NC_010383.2,"Haemonchus contortus mitochondrion, complete genome"
NC_011128.1,"Ochrogaster lunifer mitochondrion, complete genome"
NC_011120.1,"Gorilla gorilla gorilla mitochondrion, complete genome"
NC_011125.1,"Meles meles mitochondrion, complete genome"
NC_011124.1,"Ailurus fulgens mitochondrion, complete genome"
NC_011121.1,"Echinococcus canadensis mitochondrion, complete genome"
NC_011122.1,"Echinococcus ortleppi mitochondrion, complete genome"
NC_011119.1,"Locusta migratoria migratoria mitochondrion, complete genome"
NC_011118.1,"Ursus thibetanus thibetanus mitochondrion, complete genome"
NC_011117.1,"Ursus thibetanus ussuricus mitochondrion, complete genome"
NC_011114.1,"Gastrimargus marmoratus mitochondrion, complete genome"
NC_011115.1,"Oedaleus decorus asiaticus mitochondrion, complete genome"
NC_011113.1,"Epinephelus akaara mitochondrion, complete genome"
NC_011111.1,"Epinephelus coioides mitochondrion, complete genome"
NC_011112.1,"Ursus spelaeus mitochondrion, complete genome"
NC_011095.1,"Chorthippus chinensis mitochondrion, complete genome"
NC_011074.1,"Tomistoma schlegelii mitochondrion, complete genome"
NC_011075.1,"Sinonovacula constricta mitochondrion, complete genome"
NC_011016.2,"Acanella eburnea mitochondrion, complete genome"
NC_007783.2,"Coreoleuciscus splendidus mitochondrion, complete genome"
NC_007784.2,"Hemibarbus longirostris mitochondrion, complete genome"
NC_007786.2,"Hemibarbus mylodon mitochondrion, complete genome"
NC_007785.2,"Hemibarbus labeo mitochondrion, complete genome"
NC_011053.1,"Propithecus coquereli mitochondrion, complete genome"
NC_011049.1,"Bombina maxima mitochondrion, complete genome"
NC_011036.1,"Unionicola foili mitochondrion, complete genome"
NC_011037.1,"Spirometra erinaceieuropaei mitochondrion, complete genome"
NC_011029.1,"Ochotona curzoniae mitochondrion, complete genome"
NC_010964.1,"Rhagophthalmus ohbai mitochondrion, complete genome"
NC_011009.1,"Normichthys operosus mitochondrion, complete genome"
NC_011008.1,"Narcetes erimelas mitochondrion, complete genome"
NC_011007.1,"Maulisia mauli mitochondrion, complete genome"
NC_011006.1,"Leptochilichthys agassizii mitochondrion, complete genome"
NC_011017.1,"Bathytroctes microlepis mitochondrion, complete genome"
NC_011015.1,"Bathyprion danae mitochondrion, complete genome"
NC_011012.1,"Alepocephalus bicolor mitochondrion, complete genome"
NC_011010.1,"Sagamichthys abei mitochondrion, complete genome"
NC_011018.1,"Gonorynchus abbreviatus mitochondrion, complete genome"
NC_011014.1,"Terebellides stroemii mitochondrion, complete genome"
NC_010971.1,"Typhlops reticulatus mitochondrion, complete genome"
NC_010961.1,"Metaperipatus inae mitochondrion, complete genome"
NC_010969.1,"Rhagophthalmus lufengensis mitochondrion, complete genome"
NC_010957.1,"Monotaxis grandoculis mitochondrion, complete genome"
NC_010976.1,"Gyrodactylus derjavinoides mitochondrion, complete genome"
NC_010979.1,"Canthigaster rivulata mitochondrion, complete genome"
NC_010978.1,"Canthigaster coronata mitochondrion, complete genome"
NC_010975.1,"Arothron firmamentum mitochondrion, complete genome"
NC_010970.1,"Cyclemys atripons mitochondrion, complete genome"
NC_010962.1,"Platalea minor mitochondrion, complete genome"
NC_010963.1,"Lutjanus russellii mitochondrion, complete genome"
NC_010960.1,"Sphoeroides pachygaster mitochondrion, complete genome"
NC_010958.1,"Capros aper mitochondrion, complete genome"
NC_010966.1,"Platichthys stellatus mitochondrion, complete genome"
NC_010968.1,"Oplegnathus fasciatus mitochondrion, complete genome"
NC_010973.1,"Pyxidea mouhotii mitochondrion, complete genome"
NC_010974.1,"Varanus salvator mitochondrion, complete genome"
NC_010965.1,"Cairina moschata mitochondrion, complete genome"
NC_010959.1,"Oncorhynchus gorbuscha mitochondrion, complete genome"
NC_010649.2,"Cobitis choii mitochondrion, complete genome"
NC_010782.1,"Uroctonus mordax mitochondrion, complete genome"
NC_010779.1,"Eremobates cf. palpisetulosus SEM-2008 mitochondrion, complete genome"
NC_010764.1,"Keratoisidinae sp. BAL208-1 mitochondrion, complete genome"
NC_010767.1,"Syrmaticus soemmerringi ijimae mitochondrion, complete genome"
NC_010777.1,"Hypochilus thorelli mitochondrion, complete genome"
NC_010766.1,"Phalangium opilio mitochondrion, complete genome"
NC_010769.1,"Aphrocallistes vastus mitochondrion, complete genome"
NC_010768.1,"Carassius cuvieri mitochondrion, complete genome"
NC_010770.1,"Syrmaticus reevesii mitochondrion, complete genome"
NC_010774.1,"Syrmaticus humiae mitochondrion, complete genome"
NC_010771.1,"Syrmaticus ellioti mitochondrion, complete genome"
NC_010778.1,"Phasianus versicolor mitochondrion, complete genome"
NC_010781.1,"Lophura ignita mitochondrion, complete genome"
NC_010765.1,"Buthus occitanus mitochondrion, complete genome"
NC_010773.1,"Toxocara cati mitochondrion, complete genome"
NC_010692.1,"Antedon mediterranea mitochondrion, complete genome"
NC_010691.1,"Ophiura albida mitochondrion, complete genome"
NC_010689.1,"Chionodraco myersi mitochondrion, complete genome"
NC_010690.1,"Toxocara canis mitochondrion, complete genome"
NC_010650.1,"Mus terricolor mitochondrion, complete genome"
NC_010640.1,"Capricornis swinhoei mitochondrion, complete genome"
NC_010639.1,"Mecistops cataphractus mitochondrion, complete genome"
NC_010638.1,"Uncia uncia mitochondrion, complete genome"
NC_010642.1,"Panthera tigris mitochondrion, complete genome"
NC_010641.1,"Panthera pardus mitochondrion, complete genome"
NC_010636.1,"Sthenoteuthis oualaniensis mitochondrion, complete genome"
NC_010613.1,"Saturnia boisduvalii mitochondrion, complete genome"
NC_010595.1,"Walchia hayashii mitochondrion, complete genome"
NC_010570.1,"Arapaima gigas mitochondrion, complete genome"
NC_010568.1,"Pieris melete mitochondrion, complete genome"
NC_010567.1,"Elysia chlorotica mitochondrion, complete genome"
NC_010533.1,"Cryptopygus antarcticus mitochondrion, complete genome"
NC_010536.1,"Sminthurus viridis mitochondrion, complete genome"
NC_010535.1,"Friesea antarctica mitochondrion, complete genome"
NC_010532.1,"Trigoniophthalmus alternatus mitochondrion, complete genome"
NC_010534.1,"Orchesella villosa mitochondrion, complete genome"
NC_010527.1,"Toxocara malaysiensis mitochondrion, complete genome"
NC_010526.1,"Tetranychus urticae mitochondrion, complete genome"
NC_010340.2,"Canis lupus chanco mitochondrion, complete genome"
NC_010245.2,"Seriatopora caliendrum mitochondrion, complete genome"
NC_010244.2,"Seriatopora hystrix mitochondrion, complete genome"
NC_010522.1,"Phthonandria atrilineata mitochondrion, complete genome"
NC_010496.1,"Suberites domuncula mitochondrion, complete genome"
NC_010497.1,"Spilogale putorius mitochondrion, complete genome"
NC_010484.1,"Brachionus plicatilis mitochondrion part II, complete genome"
NC_010472.1,"Brachionus plicatilis mitochondrion part I, complete genome"
NC_010432.1,"Loxosomella aloxiata mitochondrion, complete genome"
NC_010431.1,"Loxocorone allax mitochondrion, complete genome"
NC_010341.1,"Megalobrama amblycephala mitochondrion, complete genome"
NC_010339.1,"Mus musculus musculus mitochondrion, complete genome"
NC_010304.1,"Eremitalpa granti mitochondrion, complete genome"
NC_010298.1,"Hylomys suillus mitochondrion, complete genome"
NC_010301.1,"Dendrohyrax dorsalis mitochondrion, complete genome"
NC_010300.1,"Eulemur mongoz mitochondrion, complete genome"
NC_010299.1,"Daubentonia madagascariensis mitochondrion, complete genome"
NC_010302.1,"Trichechus manatus mitochondrion, complete genome"
NC_010205.2,"Pteragogus flagellifer mitochondrion, complete genome"
NC_010292.1,"Heteronotia binoei mitochondrion, complete genome"
NC_010288.1,"Ctenopharyngodon idella mitochondrion, complete genome"
NC_010270.1,"Aeoliscus strigatus mitochondrion, complete genome"
NC_010267.1,"Solenostomus cyanopterus mitochondrion, complete genome"
NC_010268.1,"Aulorhynchus flavidus mitochondrion, complete genome"
NC_010274.1,"Fistularia commersonii mitochondrion, complete genome"
NC_010271.1,"Pegasus volitans mitochondrion, complete genome"
NC_010264.1,"Eurypegasus draconis mitochondrion, complete genome"
NC_010265.1,"Macroramphosus scolopax mitochondrion, complete genome"
NC_010273.1,"Microphis brachyurus mitochondrion, complete genome"
NC_010269.1,"Aulostomus chinensis mitochondrion, complete genome"
NC_010272.1,"Hippocampus kuda mitochondrion, complete genome"
NC_010266.1,"Manduca sexta mitochondrion, complete genome"
NC_010233.1,"Microhyla okinavensis mitochondrion, complete genome"
NC_010234.1,"Xyrauchen texanus mitochondrion, complete genome"
NC_010232.1,"Dryophytes japonicus voucher IABHU6123 mitochondrion, complete genome"
NC_010229.1,"Sylvia crassirostris mitochondrion, complete genome"
NC_010227.1,"Acrocephalus scirpaceus mitochondrion, complete genome"
NC_010228.1,"Sylvia atricapilla mitochondrion, complete genome"
NC_010216.1,"Igernella notabilis mitochondrion, complete genome"
NC_010218.1,"Vaceletia sp. GW948 mitochondrion, complete genome"
NC_010209.1,"Ptilocaulis walpersi mitochondrion, complete genome"
NC_010215.1,"Hippospongia lachne mitochondrion, complete genome"
NC_010208.1,"Chondrilla aff. nucula CHOND mitochondrion, complete genome"
NC_010210.1,"Ectyoplasia ferox mitochondrion, complete genome"
NC_010198.1,"Cinachyrella kuekenthali mitochondrion, complete genome"
NC_010221.1,"Antrokoreana gracilipes mitochondrion, complete genome"
NC_010213.1,"Agelas schmidti mitochondrion, complete genome"
NC_010199.1,"Odontobutis platycephala mitochondrion, complete genome"
NC_010217.1,"Plakinastrella cf. onkodes DVL-2011 mitochondrion, complete genome"
NC_010203.1,"Aplysina fulva mitochondrion, complete genome"
NC_010207.1,"Iotrochota birotulata mitochondrion, complete genome"
NC_010204.1,"Topsentia ophiraphidites mitochondrion, complete genome"
NC_010212.1,"Halisarca dujardini mitochondrion, complete genome"
NC_010211.1,"Xestospongia muta mitochondrion, complete genome"
NC_010206.1,"Callyspongia plicifera mitochondrion, complete genome"
NC_010201.1,"Amphimedon compressa mitochondrion, complete genome"
NC_010219.1,"Oxya chinensis mitochondrion, complete genome"
NC_010224.1,"Hynobius quelpaertensis mitochondrion, complete genome"
NC_010220.1,"Biomphalaria tenagophila mitochondrion, complete genome"
NC_010196.1,"Ramphotyphlops braminus mitochondrion, complete genome"
NC_010200.1,"Enhydris plumbea mitochondrion, complete genome"
NC_010223.1,"Deinagkistrodon acutus mitochondrion, complete genome"
NC_010225.1,"Naja naja mitochondrion, complete genome"
NC_010197.1,"Bugula neritina mitochondrion, complete genome"
NC_010214.1,"Hydra oligactis mitochondrion, complete genome"
NC_010202.1,"Ephydatia muelleri mitochondrion, complete genome"
NC_010194.1,"Hypophthalmichthys nobilis mitochondrion, complete genome"
NC_010171.1,"Negombata magnifica mitochondrion, complete genome"
NC_010156.1,"Hypophthalmichthys molitrix mitochondrion, complete genome"
NC_005794.2,"Bufo melanostictus mitochondrion, complete genome"
NC_004622.2,"Antheraea pernyi mitochondrion, complete genome"
NC_010122.1,"Arctogadus glacialis mitochondrion, complete genome"
NC_010121.1,"Boreogadus saida mitochondrion, complete genome"
NC_010110.1,"Puntius tetrazona mitochondrion, complete genome"
NC_010092.1,"Porphyrio hochstetteri mitochondrion, complete genome"
NC_010089.1,"Phoenicopterus roseus mitochondrion, complete genome"
NC_010095.1,"Tachybaptus novaehollandiae mitochondrion, complete genome"
NC_010090.1,"Reishia clavigera mitochondrion, complete genome"
NC_010094.1,"Archilochus colubris mitochondrion, complete genome"
NC_010091.1,"Rhynochetos jubatus mitochondrion, complete genome"
NC_010007.1,"Salmo trutta trutta mitochondrion, complete genome"
NC_009984.1,"Nothopuga sp. 1 LP-2008 mitochondrion, complete genome"
NC_009985.1,"Pseudocellus pearsei mitochondrion, complete genome"
NC_009971.1,"Ursus thibetanus mitochondrion, complete genome"
NC_009967.1,"Anabrus simplex mitochondrion, complete genome"
NC_009969.1,"Tremarctos ornatus mitochondrion, complete genome"
NC_009970.1,"Melursus ursinus mitochondrion, complete genome"
NC_009968.1,"Helarctos malayanus mitochondrion, complete genome"
NC_009964.1,"Pyrophorus divergens mitochondrion, complete genome"
NC_009948.1,"Stylephorus chordatus mitochondrion, complete genome"
NC_009940.1,"Strongylocentrotus droebachiensis mitochondrion, complete genome"
NC_009941.1,"Strongylocentrotus pallidus mitochondrion, complete genome"
NC_009938.1,"Taenia saginata mitochondrion, complete genome"
NC_009886.1,"Bufo japonicus mitochondrion, complete genome"
NC_009876.1,"Ruspolia dubia mitochondrion, complete genome"
NC_009865.1,"Ostracion immaculatus mitochondrion, complete genome"
NC_009864.1,"Kentrocapros aculeatus mitochondrion, complete genome"
NC_009863.1,"Triacanthus biaculeatus mitochondrion, complete genome"
NC_009857.1,"Parapristipoma trilineatum mitochondrion, complete genome"
NC_009858.1,"Monodactylus argenteus mitochondrion, complete genome"
NC_009859.1,"Triodon macropterus mitochondrion, complete genome"
NC_009862.1,"Trixiphichthys weberi mitochondrion, complete genome"
NC_009856.1,"Diagramma picta mitochondrion, complete genome"
NC_009853.1,"Naso lopezi mitochondrion, complete genome"
NC_009866.1,"Diodon holocanthus mitochondrion, complete genome"
NC_009867.1,"Doederleinia berycoides mitochondrion, complete genome"
NC_009873.1,"Chaetodontoplus septentrionalis mitochondrion, complete genome"
NC_009871.1,"Heniochus diphreutes mitochondrion, complete genome"
NC_009870.1,"Chaetodon auripes mitochondrion, complete genome"
NC_009869.1,"Lutjanus rivulatus mitochondrion, complete genome"
NC_009868.1,"Coreoperca kawamebari mitochondrion, complete genome"
NC_009855.1,"Lethrinus obsoletus mitochondrion, complete genome"
NC_009874.1,"Zebrasoma flavescens mitochondrion, complete genome"
NC_009872.1,"Centropyge loricula mitochondrion, complete genome"
NC_009854.1,"Spicara maena mitochondrion, complete genome"
NC_009852.1,"Zanclus cornutus mitochondrion, complete genome"
NC_009851.1,"Luvarus imperialis mitochondrion, complete genome"
NC_009849.1,"Camelus dromedarius mitochondrion, complete genome"
NC_009834.1,"Phallusia fumigata mitochondrion, complete genome"
NC_009833.1,"Phallusia mammillata mitochondrion, complete genome"
NC_009830.1,"Acanthurus leucosternon mitochondrion, complete genome"
NC_009809.1,"Culicoides arakawae mitochondrion, complete genome"
NC_009798.1,"Pocillopora eydouxi mitochondrion, complete genome"
NC_009797.1,"Pocillopora damicornis mitochondrion, complete genome"
NC_009629.2,"Camelus ferus mitochondrion, complete genome"
NC_009628.2,"Camelus bactrianus mitochondrion, complete genome"
NC_009769.1,"Pantherophis slowinskii mitochondrion, complete genome"
NC_009768.1,"Agkistrodon piscivorus mitochondrion, complete genome"
NC_009775.1,"Asymmetron sp. A TK-2007 mitochondrion, complete genome"
NC_009774.1,"Asymmetron inferum mitochondrion, complete genome"
NC_009772.1,"Bactrocera carambolae mitochondrion, complete genome"
NC_009773.1,"Anarhichas lupus mitochondrion, complete genome"
NC_009748.1,"Chlorocebus tantalus mitochondrion, complete genome"
NC_009747.1,"Chlorocebus pygerythrus mitochondrion, complete genome"
NC_009738.1,"Mesobuthus martensii mitochondrion, complete genome"
NC_009736.1,"Egretta eulophotes mitochondrion, complete genome"
NC_009732.1,"Paleosuchus trigonatus mitochondrion, complete genome"
NC_009734.1,"Dosidicus gigas mitochondrion, complete genome"
NC_009733.1,"Lucilia sericata mitochondrion, complete genome"
NC_009728.1,"Osteolaemus tetraspis mitochondrion, complete genome"
NC_009729.1,"Paleosuchus palpebrosus mitochondrion, complete genome"
NC_009684.1,"Anas platyrhynchos mitochondrion, complete genome"
NC_009710.1,"Hippoglossus stenolepis mitochondrion, complete genome"
NC_009711.1,"Reinhardtius hippoglossoides mitochondrion, complete genome"
NC_009709.1,"Hippoglossus hippoglossus mitochondrion, complete genome"
NC_009686.1,"Canis lupus lupus mitochondrion, complete genome"
NC_009691.1,"Ailurus fulgens styani mitochondrion, complete genome"
NC_009680.1,"Trichobilharzia regenti mitochondrion, complete genome"
NC_009679.1,"Fenneropenaeus chinensis mitochondrion, complete genome"
NC_009689.1,"Vampyroteuthis infernalis mitochondrion, complete genome"
NC_009685.1,"Gulo gulo mitochondrion, complete genome"
NC_009683.1,"Calotes versicolor mitochondrion, complete genome"
NC_009692.1,"Enhydra lutris mitochondrion, complete genome"
NC_009690.1,"Sepia esculenta mitochondrion, complete genome"
NC_009687.1,"Argopecten irradians mitochondrion, complete genome"
